institucion,Rating Promedio,Cantidad Cursos
(ISC)²,4.47,1
Advancing Women in Product,4.6,1
Alberta Machine Intelligence Institute,4.57,2
Amazon Web Services,4.514,5
American Museum of Natural History,4.73,1
Arizona State University,4.725,2
Atlassian,4.705,2
Autodesk,4.7,2
BCG,4.805,2
Berklee College of Music,4.812,6
"Birkbeck, University of London",4.63,1
California Institute of the Arts,4.728,4
Case Western Reserve University,4.84,1
Cloudera,4.82,1
Columbia University,4.67,3
Copenhagen Business School,4.758,4
DeepLearning.AI,4.437,16
Duke University,4.628,23
E-Learning Development Fund,4.73,1
EDHEC Business School,4.77,1
ESCP Business School,4.44,1
ESSEC Business School,4.713,6
Eindhoven University of Technology,4.785,2
Emory University,4.53,4
Erasmus University Rotterdam,4.601,7
Facebook,4.81,1
Georgia Institute of Technology,4.63,7
GitLab,5.0,1
Google,4.62,9
Google - Spectrum Sharing,4.82,1
Google Cloud,4.492,22
HEC Paris,3.742,4
Hebrew University of Jerusalem,4.925,2
Howard Hughes Medical Institute ,4.85,1
IBM,4.439,18
IE Business School,4.39,1
IE School of Architecture & Design,4.82,1
IESE Business School,4.855,2
INSEAD,4.71,1
Imperial College London,4.495,6
JetBrains,4.56,1
Johns Hopkins University,4.653,13
LearnQuest,4.375,2
London Business School,4.87,2
Ludwig-Maximilians-Universität München (LMU),4.76,1
Lund University,4.6,3
Macquarie University,4.699,7
McMaster University,4.84,1
Michigan State University,4.442,5
Moscow Institute of Physics and Technology,4.683,3
"Nanyang Technological University, Singapore",4.85,1
National Research University Higher School of Economics,4.415,4
New York Institute of Finance,3.46,1
New York University,4.7,1
Northwestern University,4.57,4
Novosibirsk State University ,4.08,1
Osmosis,4.84,1
Peking University,4.8,1
Peter the Great St. Petersburg Polytechnic University,4.55,1
Pontificia Universidad Católica de Chile,4.66,5
PwC,4.545,2
Rice University,4.591,7
"Royal Holloway, University of London",4.65,1
Rutgers the State University of New Jersey,4.71,1
SAS,4.88,1
Saint Petersburg State University,3.405,2
Sciences Po,4.257,3
Stanford University,4.405,13
Technical University of Denmark (DTU),4.69,2
Tel Aviv University,4.83,1
The Chinese University of Hong Kong,4.71,1
The George Washington University,4.8,2
The Hong Kong University of Science and Technology,4.596,5
The Museum of Modern Art,4.812,5
The State University of New York,4.615,2
The University of Chicago,4.9,1
The University of Edinburgh,4.726,7
The University of Melbourne,2.915,2
The University of North Carolina at Chapel Hill,4.727,3
The University of Sydney,4.766,5
UCL School of Management,4.88,1
UNSW Sydney (The University of New South Wales),4.747,3
Unicef,4.61,1
Universidad Austral,4.833,3
Universidad Nacional Autónoma de México,4.811,7
Universidad de Chile,4.515,2
Universidad de los Andes,4.9,1
Universidade Estadual de Campinas,4.92,1
Universidade de São Paulo,4.64,3
Universitat Autònoma de Barcelona,4.815,4
Universitat de Barcelona,4.54,1
Universiteit Leiden,4.756,7
University System of Georgia,4.62,2
University at Buffalo,4.5,1
University of Alberta,4.767,7
University of Amsterdam,4.76,4
University of Arizona,4.88,1
University of California San Diego,4.552,10
"University of California, Davis",4.626,13
"University of California, Irvine",4.583,15
"University of California, Santa Cruz",4.645,4
University of Cape Town,4.535,2
University of Colorado Boulder,4.684,10
University of Colorado System,4.663,3
University of Copenhagen,4.707,3
University of Florida,4.747,3
University of Geneva,4.803,7
University of Houston,4.615,2
University of Illinois at Urbana-Champaign,4.531,14
University of Lausanne,4.85,1
University of London,4.632,12
University of Manchester   ,4.6,2
"University of Maryland, College Park",4.85,2
University of Michigan,4.675,31
University of Minnesota,4.38,3
University of New Mexico,1.0,1
University of Pennsylvania,4.655,43
University of Pittsburgh,4.737,3
University of Rochester,4.92,1
University of Toronto,4.69,8
University of Virginia,4.695,17
University of Washington,4.712,5
Università Bocconi,4.769,7
Utrecht University,4.705,2
Vanderbilt University,4.775,2
Wesleyan University,4.62,5
West Virginia University,4.7,1
Yale University,4.865,17
Yandex,3.48,1
Yonsei University,4.885,2
École Polytechnique,4.85,1
École Polytechnique Fédérale de Lausanne,4.655,2
